id,name,created_at,updated_at,
86,テレビ/映像機器,2019-07-15 00:00:00,2019-07-15 00:00:00,
87,オーディオ機器,2019-07-15 00:00:00,2019-07-15 00:00:00,
88,美容/健康,2019-07-15 00:00:00,2019-07-15 00:00:00,
89,冷暖房/空調,2019-07-15 00:00:00,2019-07-15 00:00:00,
90,生活家電,2019-07-15 00:00:00,2019-07-15 00:00:00,
91,スポーツ・レジャー,2019-07-15 00:00:00,2019-07-15 00:00:00,
92,ゴルフ,2019-07-15 00:00:00,2019-07-15 00:00:00,
93,フィッシング,2019-07-15 00:00:00,2019-07-15 00:00:00,
94,自転車,2019-07-15 00:00:00,2019-07-15 00:00:00,
95,トレーニング/エクササイズ,2019-07-15 00:00:00,2019-07-15 00:00:00,
96,野球,2019-07-15 00:00:00,2019-07-15 00:00:00,
97,サッカー/フットサル,2019-07-15 00:00:00,2019-07-15 00:00:00,
98,テニス,2019-07-15 00:00:00,2019-07-15 00:00:00,
99,スノーボード,2019-07-15 00:00:00,2019-07-15 00:00:00,
100,スキー,2019-07-15 00:00:00,2019-07-15 00:00:00,
101,その他スポーツ,2019-07-15 00:00:00,2019-07-15 00:00:00,
102,アウトドア,2019-07-15 00:00:00,2019-07-15 00:00:00,
103,ハンドメイド,2019-07-15 00:00:00,2019-07-15 00:00:00,
104,アクセサリー(女性用),2019-07-15 00:00:00,2019-07-15 00:00:00,
105,ファッション/小物,2019-07-15 00:00:00,2019-07-15 00:00:00,
106,アクセサリー/時計,2019-07-15 00:00:00,2019-07-15 00:00:00,
107,日用品/インテリア,2019-07-15 00:00:00,2019-07-15 00:00:00,
108,趣味/おもちゃ,2019-07-15 00:00:00,2019-07-15 00:00:00,
109,キッズ/ベビー,2019-07-15 00:00:00,2019-07-15 00:00:00,
110,素材/材料,2019-07-15 00:00:00,2019-07-15 00:00:00,
111,二次創作物,2019-07-15 00:00:00,2019-07-15 00:00:00,
112,チケット,2019-07-15 00:00:00,2019-07-15 00:00:00,
113,音楽,2019-07-15 00:00:00,2019-07-15 00:00:00,
114,スポーツ,2019-07-15 00:00:00,2019-07-15 00:00:00,
115,演劇/芸能,2019-07-15 00:00:00,2019-07-15 00:00:00,
116,イベント,2019-07-15 00:00:00,2019-07-15 00:00:00,
117,映画,2019-07-15 00:00:00,2019-07-15 00:00:00,
118,施設利用券,2019-07-15 00:00:00,2019-07-15 00:00:00,
119,優待券/割引券,2019-07-15 00:00:00,2019-07-15 00:00:00,
120,自動車・オートバイ,2019-07-15 00:00:00,2019-07-15 00:00:00,
121,自動車本体,2019-07-15 00:00:00,2019-07-15 00:00:00,
122,自動車タイヤ/ホイール,2019-07-15 00:00:00,2019-07-15 00:00:00,
123,自動車パーツ,2019-07-15 00:00:00,2019-07-15 00:00:00,
124,自動車アクセサリー,2019-07-15 00:00:00,2019-07-15 00:00:00,
125,オートバイ車体,2019-07-15 00:00:00,2019-07-15 00:00:00,
126,オートバイパーツ,2019-07-15 00:00:00,2019-07-15 00:00:00,
127,オートバイアクセサリー,2019-07-15 00:00:00,2019-07-15 00:00:00,
128,まとめ売り,2019-07-15 00:00:00,2019-07-15 00:00:00,
129,ペット用品,2019-07-15 00:00:00,2019-07-15 00:00:00,
130,食品,2019-07-15 00:00:00,2019-07-15 00:00:00,
131,飲料/酒,2019-07-15 00:00:00,2019-07-15 00:00:00,
132,日用品/生活雑貨/旅行,2019-07-15 00:00:00,2019-07-15 00:00:00,
133,アンティーク/コレクション,2019-07-15 00:00:00,2019-07-15 00:00:00,
134,文房具/事務用品,2019-07-15 00:00:00,2019-07-15 00:00:00,
135,事務/店舗用品,2019-07-15 00:00:00,2019-07-15 00:00:00,
